name	docked_protein	score	no_atoms	Tool	ligand_efficiency
0002	2jam	-9.85785	33	Smina	-0.29872272727272725
0003	2jam	-9.78459	33	Smina	-0.29650272727272725
0004	2jam	-8.91276	31	Smina	-0.28750838709677423
0005	2jam	-8.52556	35	Smina	-0.2435874285714286
0006	2jam	-9.64169	30	Smina	-0.3213896666666667
0011	2jam	-10.10126	32	Smina	-0.315664375
0017	2jam	-9.11633	34	Smina	-0.26812735294117646
0018	2jam	-9.46339	33	Smina	-0.28676939393939394
0020	2jam	-9.22554	32	Smina	-0.288298125
0023	2jam	-8.08262	35	Smina	-0.230932
0026	2jam	-9.32326	25	Smina	-0.3729304
0031	2jam	-6.90225	24	Smina	-0.28759375000000004
0033	2jam	-8.99635	30	Smina	-0.2998783333333333
0035	2jam	-9.21111	30	Smina	-0.307037
0037	2jam	-9.14984	26	Smina	-0.35191692307692307
0039	2jam	-7.13557	20	Smina	-0.3567785
0056	2jam	-6.34666	22	Smina	-0.28848454545454544
0064	2jam	-7.38287	21	Smina	-0.3515652380952381
0067	2jam	-7.47779	22	Smina	-0.3398995454545454
0081	2jam	-7.70432	22	Smina	-0.35019636363636364
0085	2jam	-8.19416	25	Smina	-0.3277664
0095	2jam	-9.03375	25	Smina	-0.36135
0106	2jam	-8.89783	28	Smina	-0.3177796428571429
0107	2jam	-8.63674	30	Smina	-0.28789133333333333
0111	2jam	-7.84957	28	Smina	-0.2803417857142857
0127	2jam	-8.91743	27	Smina	-0.33027518518518517
0129	2jam	-9.85029	28	Smina	-0.3517960714285714
0130	2jam	-9.22859	27	Smina	-0.3417996296296297
0131	2jam	-9.81787	27	Smina	-0.3636248148148148
0136	2jam	-9.3333	28	Smina	-0.33333214285714285
0137	2jam	-9.12775	24	Smina	-0.3803229166666667
0138	2jam	-8.83099	24	Smina	-0.36795791666666666
0141	2jam	-8.56133	22	Smina	-0.38915136363636366
0152	2jam	-9.53124	26	Smina	-0.36658615384615384
0153	2jam	-9.29006	31	Smina	-0.29967935483870967
0156	2jam	-8.57913	28	Smina	-0.3063975
0167	2jam	-8.48281	34	Smina	-0.2494944117647059
0169	2jam	-9.39857	35	Smina	-0.2685305714285714
0170	2jam	-9.4149	34	Smina	-0.27690882352941176
0175	2jam	-8.98956	31	Smina	-0.2899858064516129
0176	2jam	-9.13136	32	Smina	-0.285355
0182	2jam	-9.16398	35	Smina	-0.261828
0184	2jam	-7.53171	32	Smina	-0.2353659375
0188	2jam	-8.28467	30	Smina	-0.2761556666666667
0191	2jam	-8.14783	33	Smina	-0.24690393939393943
0199	2jam	-8.598	24	Smina	-0.35825
0200	2jam	-7.85354	20	Smina	-0.392677
0201	2jam	-9.03446	24	Smina	-0.3764358333333333
0205	2jam	-8.85548	24	Smina	-0.36897833333333335
0211	2jam	-7.85989	21	Smina	-0.3742804761904762
0213	2jam	-8.57425	24	Smina	-0.35726041666666664
0216	2jam	-8.04575	28	Smina	-0.2873482142857143
0219	2jam	-8.30113	26	Smina	-0.3192742307692308
0226	2jam	-8.71474	29	Smina	-0.300508275862069
0231	2jam	-7.52762	33	Smina	-0.22810969696969696
0235	2jam	-7.78319	25	Smina	-0.31132760000000004
0243	2jam	-8.89357	28	Smina	-0.3176275
0244	2jam	-7.86903	24	Smina	-0.32787625000000004
0247	2jam	-7.87035	22	Smina	-0.3577431818181818
0257	2jam	-8.10462	30	Smina	-0.270154
0263	2jam	-8.77168	33	Smina	-0.26580848484848485
0265	2jam	-8.33952	34	Smina	-0.24528
0274	2jam	-8.20788	30	Smina	-0.273596
0278	2jam	-8.72746	27	Smina	-0.3232392592592593
0289	2jam	-7.8905	30	Smina	-0.2630166666666667
0293	2jam	-9.47888	26	Smina	-0.3645723076923077
0294	2jam	-9.34442	30	Smina	-0.31148066666666663
0302	2jam	-9.3036	27	Smina	-0.34457777777777776
0305	2jam	-8.02927	26	Smina	-0.30881807692307695
0309	2jam	-8.43273	32	Smina	-0.2635228125
0320	2jam	-9.35767	29	Smina	-0.322678275862069
0324	2jam	-9.90484	31	Smina	-0.3195109677419355
0346	2jam	-9.0416	34	Smina	-0.2659294117647059
0347	2jam	-9.25457	33	Smina	-0.2804415151515151
0349	2jam	-8.37234	31	Smina	-0.27007548387096775
0351	2jam	-8.27876	31	Smina	-0.2670567741935484
0354	2jam	-8.32922	31	Smina	-0.2686845161290322
0361	2jam	-8.61891	32	Smina	-0.2693409375
0362	2jam	-8.4674	35	Smina	-0.24192571428571427
0364	2jam	-9.3677	31	Smina	-0.3021838709677419
0381	2jam	-8.6735	28	Smina	-0.30976785714285715
0382	2jam	-9.23686	28	Smina	-0.3298878571428571
0385	2jam	-9.14599	28	Smina	-0.3266425
0386	2jam	-9.30196	31	Smina	-0.3000632258064516
0393	2jam	-7.76302	26	Smina	-0.2985776923076923
0395	2jam	-8.87011	28	Smina	-0.3167896428571429
0399	2jam	-9.359	27	Smina	-0.3466296296296296
0400	2jam	-8.4615	29	Smina	-0.2917758620689655
0408	2jam	-9.31984	28	Smina	-0.3328514285714285
0411	2jam	-9.00817	31	Smina	-0.29058612903225806
0412	2jam	-9.08777	31	Smina	-0.293153870967742
0414	2jam	-9.83116	32	Smina	-0.30722375
0416	2jam	-9.60373	30	Smina	-0.32012433333333334
0421	2jam	-9.1827	26	Smina	-0.35318076923076924
0425	2jam	-8.21118	24	Smina	-0.3421325
0426	2jam	-9.30335	27	Smina	-0.3445685185185185
0428	2jam	-8.9671	27	Smina	-0.3321148148148148
0429	2jam	-9.76635	33	Smina	-0.29595
0436	2jam	-8.95336	27	Smina	-0.3316059259259259
0439	2jam	-8.68368	26	Smina	-0.3339876923076923
0441	2jam	-9.45356	31	Smina	-0.30495354838709676
0444	2jam	-8.84749	31	Smina	-0.28540290322580647
0454	2jam	-7.81934	21	Smina	-0.37234952380952385
0455	2jam	-8.16045	25	Smina	-0.32641800000000004
0459	2jam	-9.59921	27	Smina	-0.3555262962962963
0467	2jam	-8.95717	27	Smina	-0.331747037037037
0469	2jam	-10.1766	31	Smina	-0.32827741935483873
0471	2jam	-9.21254	27	Smina	-0.3412051851851852
0473	2jam	-8.81697	29	Smina	-0.30403344827586204
0483	2jam	-9.15346	30	Smina	-0.30511533333333335
0484	2jam	-9.32275	34	Smina	-0.2741985294117647
0485	2jam	-8.97802	33	Smina	-0.27206121212121215
0500	2jam	-6.56358	29	Smina	-0.2263303448275862
0502	2jam	-6.41154	24	Smina	-0.2671475
0504	2jam	-6.8908	26	Smina	-0.26503076923076924
0505	2jam	-7.07857	27	Smina	-0.26216925925925927
0513	2jam	-10.3174	30	Smina	-0.3439133333333333
0526	2jam	-9.94727	28	Smina	-0.35525964285714284
0550	2jam	-8.98675	29	Smina	-0.30988793103448276
0556	2jam	-7.38101	26	Smina	-0.283885
0558	2jam	-7.02838	25	Smina	-0.28113520000000003
0559	2jam	-7.82246	28	Smina	-0.27937357142857144
0566	2jam	-7.45761	27	Smina	-0.2762077777777778
0571	2jam	-8.39864	31	Smina	-0.27092387096774195
0578	2jam	-7.84873	25	Smina	-0.3139492
0579	2jam	-7.45886	28	Smina	-0.2663878571428571
0588	2jam	-8.33176	23	Smina	-0.36225043478260865
0591	2jam	-7.94491	22	Smina	-0.3611322727272727
0592	2jam	-7.76446	23	Smina	-0.3375852173913043
0596	2jam	-8.96967	28	Smina	-0.32034535714285717
0610	2jam	-7.22625	31	Smina	-0.23310483870967744
0611	2jam	-9.67786	32	Smina	-0.302433125
0616	2jam	-9.07911	27	Smina	-0.33626333333333336
0617	2jam	-7.60188	23	Smina	-0.33051652173913043
0624	2jam	-8.21136	22	Smina	-0.3732436363636364
0625	2jam	-7.58472	29	Smina	-0.26154206896551724
0626	2jam	-8.97512	28	Smina	-0.32054
0631	2jam	-8.57306	26	Smina	-0.3297330769230769
0648	2jam	-8.99746	32	Smina	-0.281170625
0653	2jam	-8.33237	28	Smina	-0.2975846428571428
0662	2jam	-8.44819	24	Smina	-0.3520079166666667
0663	2jam	-8.39125	26	Smina	-0.32274038461538457
0666	2jam	-9.20163	27	Smina	-0.3408011111111111
0670	2jam	-8.45419	22	Smina	-0.38428136363636367
0677	2jam	-9.21428	27	Smina	-0.34126962962962964
0680	2jam	-8.60405	24	Smina	-0.3585020833333334
0681	2jam	-8.50886	24	Smina	-0.35453583333333333
0683	2jam	-8.66422	27	Smina	-0.32089703703703704
0684	2jam	-8.21865	26	Smina	-0.3161019230769231
0692	2jam	-7.52162	27	Smina	-0.27857851851851856
0693	2jam	-9.93606	30	Smina	-0.331202
0695	2jam	-8.11202	21	Smina	-0.3862866666666666
0696	2jam	-7.19861	25	Smina	-0.2879444
0699	2jam	-9.55757	30	Smina	-0.31858566666666666
0706	2jam	-8.12636	30	Smina	-0.27087866666666666
0708	2jam	-8.35706	29	Smina	-0.28817448275862073
0709	2jam	-8.55121	28	Smina	-0.3054003571428571
0716	2jam	-8.96756	28	Smina	-0.32027
0723	2jam	-6.75563	23	Smina	-0.2937230434782609
0727	2jam	-6.9565	21	Smina	-0.33126190476190476
0729	2jam	-7.87184	27	Smina	-0.2915496296296296
0737	2jam	-7.86382	20	Smina	-0.39319099999999996
0743	2jam	-9.43479	27	Smina	-0.3494366666666667
0746	2jam	-8.76552	27	Smina	-0.32464888888888893
0754	2jam	-7.85743	27	Smina	-0.2910159259259259
0755	2jam	-8.37697	28	Smina	-0.2991775
0767	2jam	-9.97099	30	Smina	-0.3323663333333334
0769	2jam	-9.27802	26	Smina	-0.35684692307692306
0776	2jam	-9.88188	34	Smina	-0.29064352941176474
0783	2jam	-9.51254	34	Smina	-0.2797805882352941
0784	2jam	-8.51887	35	Smina	-0.2433962857142857
0786	2jam	-8.36117	24	Smina	-0.3483820833333333
0789	2jam	-7.22218	21	Smina	-0.34391333333333335
0790	2jam	-8.05579	25	Smina	-0.3222316
0797	2jam	-9.45074	28	Smina	-0.33752642857142856
0800	2jam	-9.25973	28	Smina	-0.33070464285714285
0803	2jam	-8.5563	29	Smina	-0.2950448275862069
0814	2jam	-8.92644	30	Smina	-0.297548
0827	2jam	-7.07391	27	Smina	-0.26199666666666666
0833	2jam	-7.5308	26	Smina	-0.28964615384615383
0834	2jam	-7.37199	26	Smina	-0.2835380769230769
0835	2jam	-8.86806	25	Smina	-0.3547224
0836	2jam	-7.51067	25	Smina	-0.3004268
0847	2jam	-9.12905	30	Smina	-0.30430166666666664
0850	2jam	-7.26246	27	Smina	-0.26898
0860	2jam	-7.63009	26	Smina	-0.293465
0861	2jam	-7.57474	30	Smina	-0.25249133333333335
