identifier	2jam_consensus	2qfa_consensus	3e7o_consensus	3elj_consensus	3npc_consensus	3sx0_consensus	4agl_consensus	4x21_consensus	5l4q_consensus	6e43_consensus	6q9y_consensus	6s1j_consensus	2jam_LeDock	2jam_Smina	2jam_Vina	2qfa_LeDock	2qfa_Smina	2qfa_Vina	3e7o_LeDock	3e7o_Smina	3e7o_Vina	3elj_LeDock	3elj_Smina	3elj_Vina	3npc_LeDock	3npc_Smina	3npc_Vina	3sx0_LeDock	3sx0_Smina	3sx0_Vina	4agl_LeDock	4agl_Smina	4agl_Vina	4x21_LeDock	4x21_Smina	4x21_Vina	5l4q_LeDock	5l4q_Smina	5l4q_Vina	6e43_LeDock	6e43_Smina	6e43_Vina	6q9y_LeDock	6q9y_Smina	6q9y_Vina	6s1j_LeDock	6s1j_Smina	6s1j_Vina
2jam_consensus	1.0	0.5	0.42	0.3	0.34	0.22	0.46	0.54	0.4	0.28	0.34	0.48	0.2	0.68	0.6	0.18	0.34	0.32	0.14	0.32	0.3	0.18	0.24	0.24	0.2	0.28	0.28	0.14	0.16	0.14	0.16	0.26	0.24	0.16	0.42	0.4	0.16	0.32	0.26	0.12	0.22	0.18	0.16	0.32	0.32	0.2	0.34	0.34
2qfa_consensus	0.5	1.0	0.42	0.3	0.56	0.44	0.54	0.5	0.44	0.3	0.48	0.62	0.08	0.44	0.44	0.44	0.66	0.66	0.1	0.32	0.32	0.12	0.2	0.2	0.28	0.46	0.46	0.24	0.38	0.34	0.18	0.4	0.34	0.1	0.36	0.36	0.22	0.38	0.32	0.12	0.22	0.22	0.18	0.34	0.34	0.24	0.34	0.36
3e7o_consensus	0.42	0.42	1.0	0.42	0.44	0.32	0.3	0.48	0.46	0.38	0.4	0.5	0.08	0.38	0.36	0.2	0.32	0.36	0.16	0.56	0.52	0.14	0.42	0.4	0.2	0.34	0.34	0.18	0.26	0.24	0.08	0.26	0.24	0.18	0.44	0.4	0.22	0.48	0.34	0.1	0.26	0.26	0.14	0.28	0.26	0.2	0.38	0.36
3elj_consensus	0.3	0.3	0.42	1.0	0.34	0.28	0.32	0.3	0.36	0.28	0.34	0.34	0.08	0.26	0.22	0.12	0.26	0.26	0.08	0.26	0.24	0.34	0.56	0.48	0.14	0.24	0.26	0.18	0.28	0.24	0.14	0.26	0.22	0.08	0.26	0.22	0.2	0.32	0.22	0.08	0.16	0.14	0.08	0.2	0.2	0.18	0.26	0.24
3npc_consensus	0.34	0.56	0.44	0.34	1.0	0.38	0.44	0.36	0.42	0.36	0.46	0.5	0.06	0.28	0.26	0.26	0.42	0.44	0.1	0.28	0.28	0.12	0.26	0.24	0.36	0.58	0.62	0.24	0.36	0.3	0.12	0.34	0.32	0.12	0.3	0.3	0.18	0.32	0.28	0.14	0.26	0.26	0.18	0.34	0.34	0.22	0.28	0.28
3sx0_consensus	0.22	0.44	0.32	0.28	0.38	1.0	0.34	0.2	0.32	0.28	0.38	0.34	0.04	0.16	0.16	0.22	0.32	0.36	0.1	0.28	0.26	0.08	0.24	0.22	0.2	0.34	0.4	0.42	0.72	0.66	0.12	0.22	0.16	0.04	0.16	0.16	0.12	0.22	0.18	0.14	0.24	0.22	0.14	0.3	0.3	0.16	0.22	0.2
4agl_consensus	0.46	0.54	0.3	0.32	0.44	0.34	1.0	0.46	0.42	0.32	0.42	0.5	0.1	0.36	0.34	0.2	0.38	0.36	0.1	0.26	0.26	0.14	0.18	0.18	0.2	0.36	0.38	0.26	0.34	0.28	0.24	0.58	0.5	0.12	0.32	0.3	0.22	0.34	0.3	0.12	0.24	0.22	0.16	0.34	0.34	0.18	0.24	0.26
4x21_consensus	0.54	0.5	0.48	0.3	0.36	0.2	0.46	1.0	0.46	0.36	0.42	0.54	0.1	0.5	0.48	0.22	0.36	0.36	0.1	0.36	0.36	0.14	0.2	0.24	0.22	0.32	0.3	0.12	0.18	0.18	0.14	0.3	0.28	0.22	0.6	0.58	0.2	0.4	0.34	0.12	0.26	0.24	0.16	0.38	0.38	0.18	0.38	0.4
5l4q_consensus	0.4	0.44	0.46	0.36	0.42	0.32	0.42	0.46	1.0	0.28	0.36	0.42	0.16	0.44	0.36	0.2	0.4	0.42	0.1	0.32	0.32	0.12	0.24	0.28	0.12	0.38	0.38	0.16	0.26	0.24	0.14	0.36	0.3	0.12	0.3	0.26	0.3	0.6	0.48	0.08	0.14	0.14	0.12	0.28	0.26	0.18	0.28	0.3
6e43_consensus	0.28	0.3	0.38	0.28	0.36	0.28	0.32	0.36	0.28	1.0	0.36	0.38	0.06	0.3	0.28	0.16	0.26	0.26	0.1	0.26	0.26	0.12	0.26	0.26	0.18	0.3	0.3	0.2	0.32	0.28	0.06	0.22	0.2	0.14	0.34	0.34	0.1	0.26	0.2	0.32	0.6	0.58	0.12	0.32	0.3	0.18	0.24	0.26
